2024-08-13 06:14:35 - Opened short position at 58734.6, TP: 58671.0836, SL: 59342.611025571896
2024-08-13 06:14:36 - Opened short position at 58734.6, TP: 58671.0836, SL: 59342.611025571896
2024-08-13 06:14:37 - Opened short position at 58740.1, TP: 58676.579933333334, SL: 59348.111025571896
2024-08-13 06:14:37 - Opened short position at 58734.7, TP: 58671.18353333333, SL: 59342.711025571894
2024-08-13 06:14:38 - Opened short position at 58734.7, TP: 58671.18353333333, SL: 59342.711025571894
2024-08-13 06:14:38 - Opened short position at 58740.2, TP: 58676.679866666665, SL: 59348.211025571894
2024-08-13 06:14:39 - Opened short position at 58740.2, TP: 58676.679866666665, SL: 59348.211025571894
2024-08-13 06:14:40 - Opened short position at 58740.2, TP: 58676.679866666665, SL: 59348.211025571894
2024-08-13 06:14:40 - Opened short position at 58745.2, TP: 58681.67653333333, SL: 59353.211025571894
2024-08-13 06:14:41 - Opened short position at 58745.2, TP: 58681.67653333333, SL: 59353.211025571894
2024-08-13 06:14:42 - Opened short position at 58749.0, TP: 58685.474, SL: 59357.0110255719
2024-08-13 06:14:42 - Opened short position at 58750.0, TP: 58686.473333333335, SL: 59358.0110255719
2024-08-13 06:14:43 - Opened short position at 58758.0, TP: 58694.468, SL: 59366.0110255719
2024-08-13 06:14:44 - Opened short position at 58760.1, TP: 58696.5666, SL: 59368.111025571896
2024-08-13 06:14:45 - Opened short position at 58760.2, TP: 58696.66653333333, SL: 59368.211025571894
2024-08-13 06:14:45 - Opened short position at 58754.6, TP: 58691.07026666666, SL: 59362.611025571896
2024-08-13 06:14:46 - Opened short position at 58754.6, TP: 58691.07026666666, SL: 59362.611025571896
2024-08-13 06:14:47 - Opened short position at 58754.6, TP: 58691.07026666666, SL: 59362.611025571896
2024-08-13 06:14:47 - Opened short position at 58754.6, TP: 58691.07026666666, SL: 59362.611025571896
2024-08-13 06:14:48 - Opened short position at 58754.6, TP: 58691.07026666666, SL: 59362.611025571896
2024-08-13 06:14:49 - Opened short position at 58760.0, TP: 58696.46666666667, SL: 59368.0110255719
2024-08-13 06:14:49 - Opened short position at 58760.0, TP: 58696.46666666667, SL: 59368.0110255719
2024-08-13 06:14:50 - Opened short position at 58761.3, TP: 58697.7658, SL: 59369.3110255719
2024-08-13 06:14:51 - Opened short position at 58767.8, TP: 58704.26146666667, SL: 59375.8110255719
2024-08-13 06:14:51 - Opened short position at 58769.1, TP: 58705.5606, SL: 59377.111025571896
2024-08-13 06:14:52 - Opened short position at 58769.1, TP: 58705.5606, SL: 59377.111025571896
2024-08-13 06:14:52 - Opened short position at 58769.0, TP: 58705.460666666666, SL: 59377.0110255719
2024-08-13 06:14:53 - Opened short position at 58769.1, TP: 58705.5606, SL: 59377.111025571896
2024-08-13 06:14:54 - Opened short position at 58769.2, TP: 58705.66053333333, SL: 59377.211025571894
2024-08-13 06:14:54 - Opened short position at 58769.2, TP: 58705.66053333333, SL: 59377.211025571894
2024-08-13 06:14:55 - Opened short position at 58775.0, TP: 58711.456666666665, SL: 59383.0110255719
2024-08-13 06:14:56 - Opened short position at 58777.0, TP: 58713.45533333333, SL: 59385.0110255719
2024-08-13 06:14:57 - Opened short position at 58777.0, TP: 58713.45533333333, SL: 59385.0110255719
2024-08-13 06:14:57 - Opened short position at 58777.0, TP: 58713.45533333333, SL: 59385.0110255719
2024-08-13 06:14:58 - Opened short position at 58777.0, TP: 58713.45533333333, SL: 59385.0110255719
2024-08-13 06:14:58 - Opened short position at 58780.1, TP: 58716.55326666666, SL: 59388.111025571896
2024-08-13 06:14:59 - Opened short position at 58780.0, TP: 58716.45333333333, SL: 59388.0110255719
2024-08-13 06:15:00 - Opened short position at 58780.1, TP: 58716.55326666666, SL: 59388.111025571896
2024-08-13 06:15:00 - Opened short position at 58776.6, TP: 58713.0556, SL: 59342.028095173904
2024-08-13 06:15:01 - Opened short position at 58776.6, TP: 58713.0556, SL: 59343.04595231676
2024-08-13 06:15:02 - Opened short position at 58776.6, TP: 58713.0556, SL: 59343.14238088819
2024-08-13 06:15:02 - Opened short position at 58775.0, TP: 58711.456666666665, SL: 59341.54238088819
2024-08-13 06:15:03 - Opened short position at 58772.8, TP: 58709.25813333334, SL: 59339.34238088819
2024-08-13 06:15:04 - Opened short position at 58772.8, TP: 58709.25813333334, SL: 59339.34238088819
2024-08-13 06:15:04 - Opened short position at 58772.8, TP: 58709.25813333334, SL: 59339.34238088819
2024-08-13 06:15:05 - Opened short position at 58775.7, TP: 58712.1562, SL: 59342.24238088819
2024-08-13 06:15:06 - Opened short position at 58778.3, TP: 58714.754466666665, SL: 59344.84238088819
2024-08-13 06:15:06 - Opened short position at 58778.4, TP: 58714.854400000004, SL: 59344.94238088819
2024-08-13 06:15:07 - Opened short position at 58778.4, TP: 58714.854400000004, SL: 59344.94238088819
2024-08-13 06:15:08 - Opened short position at 58780.1, TP: 58716.55326666666, SL: 59346.64238088819
2024-08-13 06:15:08 - Opened short position at 58780.0, TP: 58716.45333333333, SL: 59346.54238088819
